id,sentimento_op30,palavras_op30,sentimento_sent,palavras_sent,palavras,quant_adj_op30,quant_adj_sent
1,12,33,2,3,181,22,3
2,-1,14,-1,1,125,7,0
3,-6,7,2,5,60,4,1
4,-3,21,8,4,140,13,4
5,5,7,2,2,60,5,2
6,-9,25,4,2,316,12,2
7,-1,8,0,2,92,6,2
8,-1,2,0,0,28,0,0
9,1,7,0,0,43,6,0
10,3,21,0,5,222,11,5
11,-9,10,-3,3,103,4,0
12,6,4,0,0,43,3,0
13,6,36,7,9,276,24,8
14,8,14,-1,2,88,10,1
15,2,10,7,5,53,6,4
16,-6,23,-3,3,192,9,0
17,-1,46,-2,3,410,31,3
18,0,18,-2,3,166,14,1
19,10,46,4,8,263,35,8
20,0,7,-2,2,108,3,0
21,-6,7,-1,1,61,6,0
22,-3,12,-6,3,105,9,3
23,6,34,-1,5,284,32,4
24,4,9,2,2,123,6,2
25,-2,3,2,1,53,3,1
26,-3,15,0,3,215,9,1
27,2,11,-2,4,95,6,2
28,-1,21,4,5,201,16,5
29,3,12,2,2,122,6,0
30,4,2,0,0,23,2,0
31,-2,45,2,13,376,33,9
32,2,9,-4,2,67,8,2
33,2,14,-3,2,163,5,1
34,23,58,6,24,563,41,12
35,36,55,36,22,444,37,22
36,-4,27,-2,1,190,14,1
37,3,15,0,2,135,6,0
38,7,50,5,9,499,34,6
39,-14,43,-8,13,288,25,5
40,-4,14,-3,3,87,8,2
41,-1,11,0,1,72,6,1
42,5,8,3,5,99,6,2
43,-3,2,0,0,35,1,0
44,9,28,2,4,183,18,4
45,1,7,2,1,63,5,1
46,3,5,-1,2,56,3,1
47,0,2,0,2,16,2,2
48,0,6,-2,1,37,4,1
49,2,10,-1,1,74,5,0
50,2,11,5,3,199,11,2
51,-7,19,-2,1,116,8,1
52,1,7,2,2,83,4,2
53,1,3,0,0,19,0,0
54,-2,4,1,1,26,2,0
55,9,19,4,6,128,13,6
56,14,18,4,2,160,14,2
57,-2,11,6,4,98,10,4
58,-1,1,0,0,15,0,0
59,1,17,0,4,176,8,2
60,-1,23,3,5,209,10,4
61,-4,8,0,2,75,5,2
62,-1,15,-2,6,101,9,6
63,10,13,0,0,108,9,0
64,2,3,0,0,33,3,0
65,6,8,2,1,73,7,1
66,-8,14,0,0,130,8,0
67,-7,26,-5,4,213,18,3
68,1,11,-2,3,83,5,3
69,25,49,17,13,433,42,10
70,0,5,1,3,33,5,2
71,-1,8,-1,1,144,6,0
72,0,1,-1,1,22,0,0
73,2,25,-4,4,185,17,4
74,0,1,0,0,18,0,0
75,4,14,-2,1,111,9,1
76,0,4,4,2,43,4,2
77,0,4,-1,1,33,3,0
78,3,14,0,0,158,12,0
79,-3,8,-3,3,63,5,2
80,6,12,1,6,170,12,5
81,4,6,1,1,52,6,0
82,-8,18,-4,5,153,12,5
83,-1,14,0,2,118,10,2
84,-7,24,-2,5,207,19,5
85,18,32,11,11,243,23,10
86,-9,26,-8,7,174,16,3
87,0,3,0,0,9,3,0
88,-3,7,-2,2,68,6,0
89,5,12,2,2,95,7,0
90,1,16,1,3,100,8,2
91,9,9,0,2,81,4,0
92,7,8,5,3,59,6,2
93,2,4,0,0,51,4,0
94,7,13,2,2,80,5,2
95,-7,76,8,17,703,55,10
96,-11,34,2,10,194,27,6
97,3,14,-1,2,115,10,1
98,-14,31,-10,6,231,16,4
